종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
267260,HD현대일렉트릭,KOSPI,,832000,-40000,-4.59,-853000,-870000,-830000,156485,+129.23,29991200000000,36047000
011070,LG이노텍,KOSPI,,293500,-14500,-4.71,-301500,+310000,-291500,218739,+102.97,6946300000000,23667000
000080,하이트진로,KOSPI,,16720,+250,+1.52,-16410,+17090,-16400,276697,+330.60,1172600000000,70134000
068270,셀트리온,KOSPI,,197200,-4300,-2.13,-199500,+202000,-196100,493138,+115.56,45562700000000,231048000
226950,올릭스,KOSDAQ,,185100,-900,-0.48,+186800,+191900,-175300,330984,-87.95,3757600000000,20301000
499790,GS피앤엘,KOSPI,,42200,-1350,-3.10,-43200,+43950,-41300,111727,-65.39,836900000000,19831000
215790,이노인스트루먼트,KOSDAQ,,717,-224,-23.80,941,941,-712,8083242,-32.31,28900000000,40283000
290690,소룩스,KOSDAQ,,3710,-45,-1.20,-3650,+4000,-3460,1424946,+113.32,180900000000,48754000
034220,LG디스플레이,KOSPI,,10850,-290,-2.60,-11020,-11130,-10800,3385485,+132.73,5425000000000,500000000
0007C0,아크릴,KOSDAQ,,31450,-50,-0.16,-31100,+36450,-29950,915240,+676.42,252600000000,8030000
054620,APS,KOSDAQ,,9310,+480,+5.44,8830,+10770,-8510,1909795,+1217.70,171300000000,18394000
277810,레인보우로보틱스,KOSDAQ,,521000,-17000,-3.16,+550000,+551000,-516000,142455,+162.65,10107300000000,19400000
085620,미래에셋생명,KOSPI,,16130,-890,-5.23,-16600,-16670,-16010,297772,-84.38,2855300000000,177016000
064760,티씨케이,KOSDAQ,,228500,-2500,-1.08,-225000,+236500,-219500,80170,+156.97,2554500000000,11179000
298050,HS효성첨단소재,KOSPI,,220000,-1500,-0.68,-215000,+223500,-214500,11979,+119.86,985600000000,4480000
095660,네오위즈,KOSDAQ,,24200,0,0.00,-23800,+25650,-23800,88506,+279.49,528900000000,21857000
200710,에이디테크놀로지,KOSDAQ,,48000,-5100,-9.60,-50200,-51900,-47550,530608,+170.45,645200000000,13441000
038500,삼표시멘트,KOSDAQ,,14800,-360,-2.37,-15000,+17390,-14400,11570267,+689.43,1597200000000,107916000
000390,삼화페인트,KOSPI,,8800,-600,-6.38,-9190,-9280,-8710,1124075,-82.42,239400000000,27203000
006360,GS건설,KOSPI,,25100,-750,-2.90,+26100,+26250,-24900,1611615,+137.99,2148100000000,85581000
082270,젬백스,KOSDAQ,,33950,-7800,-18.68,-39400,-40950,-31900,870933,+339.61,1500100000000,44186000
017900,광전자,KOSPI,,2735,-380,-12.20,-3065,+3145,-2720,4357185,-28.29,158500000000,57944000
067000,조이시티,KOSDAQ,,2320,+20,+0.87,-2295,+2430,-2255,572587,+124.38,162200000000,69903000
017670,SK텔레콤,KOSPI,,76400,-1900,-2.43,-76400,-77700,-75800,749789,-89.04,16410000000000,214790000
035420,NAVER,KOSPI,,201500,-5500,-2.66,-202500,-205500,-200000,822752,+216.79,31605800000000,156853000
049080,기가레인,KOSDAQ,,1211,-191,-13.62,+1650,+1800,-1144,72338401,+281.58,102800000000,84883000
085910,네오티스,KOSDAQ,,20050,-700,-3.37,-20050,-20650,-19190,217499,+110.86,279400000000,13935000
161390,한국타이어앤테크놀로지,KOSPI,,54100,-900,-1.64,-53500,+55200,-52600,527784,+110.11,6701600000000,123875000
010950,S-Oil,KOSPI,,105300,-4800,-4.36,-107900,-109800,-104700,509551,+130.58,11855000000000,112583000
251370,와이엠티,KOSDAQ,,15580,-130,-0.83,-15340,+16420,-15050,324094,-87.39,274600000000,17624000
393210,토마토시스템,KOSDAQ,,3995,-225,-5.33,4220,+4230,-3975,123470,+441.61,62400000000,15615000
950160,코오롱티슈진,KOSDAQ,,106700,-10600,-9.04,-117100,-117100,-105100,705372,+103.00,8978400000000,84146000
468530,프로티나,KOSDAQ,,66600,-4600,-6.46,-71000,+73600,-66500,133552,+147.87,728600000000,10939000
001430,세아베스틸지주,KOSPI,,64400,-2600,-3.88,-65400,+73500,-63200,376390,+356.21,2309500000000,35862000
137400,피엔티,KOSDAQ,,47300,-2050,-4.15,+49800,+49900,-47200,167123,+100.43,1120600000000,23691000
490470,세미파이브,KOSDAQ,,22500,-2100,-8.54,-23900,-24200,-22150,880445,-59.22,761800000000,33859000
297090,씨에스베어링,KOSDAQ,,7690,-490,-5.99,+8230,+8250,-7600,451607,-86.47,209700000000,27270000
071970,HD현대마린엔진,KOSPI,,68700,-2300,-3.24,-70400,+72100,-68300,184667,-91.35,2330400000000,33921000
030520,한글과컴퓨터,KOSDAQ,,19060,-530,-2.71,-19430,+19950,-18910,189079,+195.51,460900000000,24180000
178320,서진시스템,KOSDAQ,,42500,+500,+1.19,-41900,+44500,-41450,1260890,+124.37,2497700000000,58770000
